NUMERO,SALDO,TIPO_CUENTA,CLIENTE,OFICINA
96,2666148.688956415,4,1705,3
97,739811.5936177043,3,1705,3
98,34340837.384621695,2,1705,3
99,12692222.798729721,1,1706,3
100,4954361.260269036,2,1707,3
101,4592319.512211073,4,1708,3
102,1042448.3909396537,2,1708,3
103,32472948.423231732,1,1709,3
104,13619301.048521522,1,1709,3
105,11207396.559334908,3,1709,3
106,85072859.93313812,2,1710,3
107,3825983.7436251035,2,1711,3
108,17295804.98169266,1,1711,3
109,69268428.36075103,1,1711,3
110,19614869.08353906,1,1712,3
111,320517.9397093931,4,1712,3
112,12980243.802752024,3,1712,3
113,909932.8209519058,2,1713,4
114,8054520.640566479,2,1713,4
115,949240.8033436437,4,1714,4
116,14274679.530167704,3,1714,4
117,10959585.196313377,3,1715,4
118,49676937.726451665,4,1715,4
119,4674888.38279755,3,1716,4
120,7820421.566740678,3,1716,4
121,5416395.795471214,1,1716,4
122,42040264.74758051,1,1717,4
123,4456423.785239191,2,1718,4
124,853837.9687762284,2,1719,4
125,6010395.169822937,3,1719,4
126,4973642.065954841,3,1720,4
127,9817805.870281478,2,1720,4
128,240345.35029356185,1,1721,4
129,6121710.387513601,4,1722,4
130,7329981.95523389,2,1722,4
131,26835018.679423913,4,1722,4
132,1885948.078863977,2,1723,4
133,944874.7145655276,4,1724,4
134,22588746.599345718,1,1724,4
135,44211197.36854528,2,1724,4
136,37013537.72356139,1,1725,4
137,7653802.856156989,1,1725,4
138,2478491.500984557,3,1725,4
139,411197.61973171786,4,1726,4
140,4146590.247419873,2,1726,4
141,7809961.056068772,4,1726,4
142,6644645.863832507,3,1727,4
143,640180.8408981293,1,1728,4
144,18832833.869446993,2,1728,4
145,22600031.417627946,4,1728,4
146,2763656.412087108,2,1729,4
147,29331547.41301573,1,1730,4
148,3658916.6822550455,1,1731,4
149,15704543.588228697,1,1732,4
150,6815390.743846885,2,1732,4
151,21138148.83091834,1,1732,4
152,9842393.805570962,1,1733,5
153,1582054.8789495672,2,1733,5
154,36685576.09754102,3,1734,5
155,37728191.713072926,3,1734,5
156,1778159.8562228417,3,1735,5
157,48240169.14577849,4,1735,5
158,22087861.28352141,1,1736,5
159,6901529.625703209,1,1737,5
160,572455.901188184,2,1737,5
161,8493976.620611299,4,1737,5
162,14143543.977245716,2,1738,5
163,13404816.150610084,1,1739,5
164,72144857.15195853,3,1740,5
165,10335230.614984412,4,1741,5
166,374954.1058708653,3,1741,5
167,12372818.36339124,1,1742,5
168,15224601.81262359,3,1742,5
169,20599538.279694073,2,1743,5
170,71083281.78898412,1,1744,5
171,39190004.11884857,3,1745,5
172,28518089.738245003,2,1745,5
173,63877.844419119996,1,1745,5
174,6793513.876076634,1,1746,5
175,2184366.210031763,3,1746,5
176,310813.3176758032,4,1746,5
177,16922799.4197987,4,1747,5
178,6299326.847642742,1,1747,5
179,985682.1024700217,3,1747,5
180,3736047.1448495183,2,1748,5
181,25601604.572094765,1,1748,5
182,20054967.471265096,1,1749,5
183,7316409.271548297,1,1750,5
184,20226874.342961863,3,1750,5
185,4506031.184566292,1,1750,5
186,16168149.215421682,3,1751,5
187,3327866.5778793558,2,1752,5
188,8164960.262646032,1,1752,5
189,12590912.507613981,4,1753,6
190,1457175.3962820233,1,1754,6
191,20968612.365790557,4,1754,6
192,1710486.425122112,3,1755,6
193,1269877.0165525563,4,1755,6
194,3417325.0204597046,2,1756,6
195,771824.1470946262,2,1756,6
196,170764.980737107,2,1756,6
197,91884.11981061613,4,1757,6
198,746520.307798652,2,1757,6
199,3309902.0746810073,3,1757,6
200,17694295.872345738,2,1758,6
201,8487886.401584022,4,1759,6
202,239711.70505290432,3,1759,6
203,17635816.159258984,2,1760,6
204,25810196.65631077,2,1761,6
205,645555.2748747608,4,1761,6
206,3679811.7424857486,2,1762,6
207,898532.2995806767,1,1762,6
208,32123728.2651958,1,1763,6
209,7821647.409839448,3,1764,6
210,3871439.344076787,2,1764,6
211,2397008.571117673,3,1764,6
212,155026.76782960608,1,1765,6
213,450570.0633157077,2,1765,6
214,11838092.036643682,1,1765,6
215,414743.48969924916,4,1766,6
216,11766877.367007308,2,1766,6
217,7012676.595490575,1,1767,6
218,21104727.370307498,2,1767,6
219,876196.0501297087,3,1768,6
220,24934553.03926594,1,1769,6
221,53357826.660842575,2,1769,6
222,6016947.25408114,2,1769,6
223,26406542.435143784,1,1770,6
224,713912.1440499607,1,1770,6
225,25917296.64519501,1,1770,6
226,27185800.005946826,4,1771,6
227,15496975.89685154,1,1771,6
228,1566082.4827287104,4,1772,6
229,66461779.04775719,1,1773,7
230,6897621.255499361,3,1774,7
231,23129770.291305874,3,1775,7
232,14244969.290940197,4,1775,7
233,4695533.958387408,1,1776,7
234,27357673.06133779,2,1777,7
235,576568.1278270531,4,1777,7
236,48060576.88242928,1,1777,7
237,34997412.98642661,3,1778,7
238,3510878.937004511,4,1778,7
239,39575752.25519658,1,1779,7
240,29517784.74695304,4,1779,7
241,493539.0650268819,2,1779,7
242,15726676.51240482,1,1780,7
243,1860598.6377681044,1,1780,7
244,23223435.120395824,3,1781,7
245,21200771.734285727,4,1781,7
246,3280828.980672473,1,1781,7
247,8808537.625836555,1,1782,7
248,52416691.95183085,3,1783,7
249,11108898.257519875,4,1783,7
250,23514743.50140251,2,1783,7
251,77509135.89024262,1,1784,7
252,17638107.83738792,1,1784,7
253,313019.6376873994,1,1785,7
254,29161.843569600722,3,1785,7
255,69949885.41793004,3,1786,7
256,2922050.5802156227,1,1786,7
257,690822.9397486596,1,1787,7
258,37077793.27020377,1,1788,7
259,17854148.89842864,4,1788,7
260,3104319.2111026803,4,1789,7
261,581009.8604563941,4,1790,7
262,25350630.335246652,2,1790,7
263,31980629.218366392,3,1791,7
264,1032635.0447581485,3,1791,7
265,13695343.26063209,2,1791,7
266,5535122.378617585,1,1792,7
267,58950938.7706458,3,1792,7
268,20568880.874915883,4,1792,7
269,15569259.84163515,3,1793,8
270,1964965.977008932,4,1794,8
271,64082126.7261383,2,1794,8
272,27815004.36697313,3,1795,8
273,4560517.265427836,4,1796,8
274,6924359.214551456,2,1797,8
275,42007441.44637659,3,1797,8
276,581203.3615721782,3,1798,8
277,25823584.86387745,3,1798,8
278,7142518.60985189,1,1798,8
279,18496684.38964197,4,1799,8
280,6542699.827700429,3,1800,8
281,91617.0118773157,2,1801,8
282,27147277.58155597,4,1801,8
283,12225161.542085,1,1802,8
284,49640598.36624117,4,1802,8
285,70949.94993966719,4,1803,8
286,5221825.866747326,2,1804,8
287,4094223.8220821964,4,1805,8
288,9553966.994559579,2,1805,8
289,3957477.6250648457,1,1805,8
290,78613839.58721586,1,1806,8
291,1470254.7267730846,1,1806,8
292,35143750.48381733,3,1806,8
293,13139339.235874947,2,1807,8
294,12176710.769354828,1,1807,8
295,74183.30327406467,2,1808,8
296,7834716.205405799,1,1808,8
297,20143405.159444556,2,1808,8
298,23200540.766493052,2,1809,8
299,16316011.063084323,2,1810,8
300,4801817.367977936,4,1810,8
301,10867801.68571473,1,1811,8
302,12473109.354392054,2,1811,8
303,12156873.308764145,2,1811,8
304,12722271.224467091,3,1812,8
305,8149428.6862408435,2,1812,8
306,8486934.023846082,2,1812,8
307,10608067.149719104,2,1813,9
308,2117121.1952877324,3,1814,9
309,5500008.468365667,2,1814,9
310,2265090.5533839925,4,1815,9
311,19222080.907763056,3,1815,9
312,10971827.147483075,1,1815,9
313,53887790.98167577,3,1816,9
314,9904267.63858501,3,1816,9
315,15159824.86758667,2,1817,9
316,3265748.581235461,2,1817,9
317,2052032.0322966594,4,1817,9
318,51122760.8215749,1,1818,9
319,409024.60746753355,3,1818,9
320,682885.2198741494,4,1819,9
321,2997277.3568786657,2,1819,9
322,16923511.970265053,4,1820,9
323,24793661.27592479,1,1820,9
324,2942996.45936536,4,1821,9
325,20330593.833972633,2,1821,9
326,33285309.732490644,1,1822,9
327,16630345.688230576,4,1822,9
328,1690161.3595145105,1,1822,9
329,6942914.404638867,4,1823,9
330,32025367.66225581,4,1824,9
331,7073627.739915473,2,1824,9
332,28687966.972821053,4,1825,9
333,8136665.385777379,2,1826,9
334,13050694.383720312,3,1826,9
335,963961.7617285604,2,1826,9
336,430773.5502864772,4,1827,9
337,2051409.612262997,3,1827,9
338,16431437.445065156,3,1828,9
339,1334483.8721039733,3,1828,9
340,75207652.22630051,4,1829,9
341,274396.8659235508,4,1830,9
342,35394909.48452159,4,1830,9
343,39418070.24457182,1,1831,9
344,12468372.81146314,3,1831,9
345,413564.8640969176,4,1831,9
346,6937412.274948134,4,1832,9
347,18511395.84458946,4,1832,9
348,46209607.75063603,3,1832,9
349,195275.85230969987,4,1833,10
350,428251.2710973577,1,1833,10
351,46392510.12101824,3,1834,10
352,982413.3039945739,2,1834,10
353,49496869.16248559,4,1834,10
354,85812449.04209173,3,1835,10
355,77566805.36501981,1,1835,10
356,11523627.880013801,4,1835,10
357,61246896.56013606,1,1836,10
358,25083819.383538775,2,1836,10
359,1115558.405376259,2,1836,10
360,14967976.093476575,3,1837,10
361,18871922.41583702,3,1837,10
362,140721.42380679538,3,1838,10
363,32160998.86975884,2,1839,10
364,19715153.803560283,1,1839,10
365,16641158.968351444,3,1839,10
366,822711.3033972834,4,1840,10
367,28076160.369596303,4,1840,10
368,16183909.093493337,4,1840,10
369,185580.181067053,4,1841,10
370,280903.3015734168,1,1841,10
371,12888899.11031643,1,1842,10
372,11112951.338912087,3,1842,10
373,78467205.32654242,1,1842,10
374,13840199.282180859,1,1843,10
375,536074.9300509838,3,1843,10
376,390740.1823988379,3,1844,10
377,16351440.854295697,2,1844,10
378,10217234.51045391,4,1844,10
379,46437223.66988645,1,1845,10
380,39638994.64195907,1,1845,10
381,29979595.2898604,1,1845,10
382,12756286.144104816,2,1846,10
383,11752547.062738905,3,1846,10
384,21627419.732230663,4,1847,10
385,82003658.15065752,4,1848,10
386,5581529.553651403,4,1849,10
387,4293643.772491506,4,1850,10
388,35432566.943355,1,1851,10
389,130930.02069945942,1,1852,10
390,8696040.436267005,4,1853,11
391,3216135.5640481194,2,1854,11
392,10481041.542783387,1,1855,11
393,21989696.984818503,2,1855,11
394,17562221.034519557,3,1855,11
395,9705800.3929719,1,1856,11
396,25591949.890697762,1,1857,11
397,607325.1902363151,2,1857,11
398,5701385.491755449,1,1858,11
399,2878670.29181215,4,1859,11
400,294656.74334872456,1,1860,11
401,36247965.063947424,2,1860,11
402,32142403.948768154,3,1860,11
403,36519295.22167408,4,1861,11
404,10778403.533046741,4,1861,11
405,25106742.139522195,2,1862,11
406,8524868.668783052,2,1863,11
407,704200.834538382,3,1864,11
408,19323648.422814094,2,1865,11
409,16673073.10796211,1,1865,11
410,16306401.5951097,1,1865,11
411,298512.22011752054,4,1866,11
412,2695075.714905075,4,1866,11
413,53026574.00167542,2,1867,11
414,1543324.9899121264,1,1868,11
415,966743.5484044942,1,1868,11
416,57073455.78725342,2,1869,11
417,11186328.210205514,3,1870,11
418,764267.4588416409,4,1871,11
419,11430336.899055947,3,1871,11
420,33376369.129325837,2,1872,11
421,14150884.36970077,4,1872,11
422,1116101.6622729274,4,1873,12
423,11847773.06166203,4,1873,12
424,9082893.045299329,4,1873,12
425,785596.2862965714,3,1874,12
426,6806028.3615868045,3,1875,12
427,33616585.73890911,2,1876,12
428,2158407.407105613,3,1876,12
429,8247261.768749751,4,1876,12
430,24659023.31704377,1,1877,12
431,73320.54946891143,4,1877,12
432,420869.4316181415,3,1877,12
433,90333514.09242746,2,1878,12
434,147547.8453207102,3,1878,12
435,1044382.2872259332,2,1878,12
436,7550490.37868402,2,1879,12
437,1285358.029693512,2,1879,12
438,9807214.442715503,3,1880,12
439,862220.4849017619,4,1880,12
440,3402481.4031331446,2,1881,12
441,12576335.976356335,3,1882,12
442,2622454.2136458214,4,1882,12
443,38718106.08083079,2,1882,12
444,43219.30315902387,1,1883,12
445,38040226.23561133,4,1884,12
446,33896120.976565264,3,1884,12
447,62096116.01137629,3,1885,12
448,7492198.230677642,1,1885,12
449,33900150.483537406,3,1885,12
450,10214150.421063337,4,1886,12
451,301220.1697005165,2,1886,12
452,61579185.47171642,4,1886,12
453,16294902.088390741,3,1887,12
454,6200311.999012295,3,1888,12
455,342141.3788069644,1,1888,12
456,20890524.835704315,2,1888,12
457,29532499.75390859,4,1889,12
458,840619.3067826746,4,1890,12
459,50327939.54257815,1,1890,12
460,886973.7761183465,2,1890,12
461,239240.33528731065,3,1891,12
462,13615500.374475086,2,1891,12
463,11770909.35358469,4,1892,12
464,16704763.089871181,1,1892,12
465,17253475.346636247,3,1893,13
466,7160765.872858591,1,1893,13
467,1481376.1779561918,1,1893,13
468,47481140.071832724,2,1894,13
469,8060607.746426418,1,1894,13
470,6921634.544615538,4,1895,13
471,71936532.3052186,2,1895,13
472,6285560.411651541,4,1896,13
473,17838172.07387691,3,1897,13
474,415377.31020019617,3,1897,13
475,42226195.51053254,1,1898,13
476,62399169.726232484,2,1898,13
477,26074733.786270805,4,1899,13
478,26054684.951435905,3,1899,13
479,26857530.017716996,3,1900,13
480,7652125.651002671,1,1901,13
481,8444560.38109503,2,1901,13
482,758323.6935785374,1,1902,13
483,68417992.22676808,1,1902,13
484,49334292.27336329,4,1902,13
485,37906589.25288892,2,1903,13
486,1318513.7217254508,1,1903,13
487,11865014.006402891,4,1904,13
488,2271383.431221975,1,1905,13
489,752051.8956405595,2,1905,13
490,620918.6068296499,3,1905,13
491,973336.7565626511,2,1906,13
492,14760184.548094995,2,1906,13
493,1098634.5346099525,3,1907,13
494,21187178.573961757,2,1907,13
495,358694.47790546337,1,1907,13
496,36048918.55757831,3,1908,13
497,31008.514770402573,2,1909,13
498,16007769.71387661,4,1910,13
499,62668244.89475603,3,1910,13
500,422040.2850687,1,1910,13
501,45213356.481454395,4,1911,13
502,20349606.274683893,3,1911,13
503,62414.66869682056,2,1911,13
504,84709.04003401287,1,1912,13
505,15570907.553163998,4,1912,13
506,754293.7162415861,4,1913,14
507,2608610.4943335084,2,1914,14
508,700374.4440078561,3,1914,14
509,903109.8498721371,3,1914,14
510,23648764.838146694,4,1915,14
511,14846328.895298315,3,1915,14
512,6797031.729534972,4,1916,14
513,52217592.164294384,3,1916,14
514,8346400.803499151,1,1917,14
515,850388.0364470404,1,1917,14
516,25854105.029361364,3,1918,14
517,29234937.3917732,4,1918,14
518,4375352.975934235,4,1919,14
519,5600938.546760678,3,1919,14
520,13773984.2141026,2,1919,14
521,56020513.8429313,2,1920,14
522,20400806.13417216,1,1920,14
523,27806325.920858875,2,1920,14
524,372634.61740962986,4,1921,14
525,1725236.9670975558,3,1922,14
526,299320.23495916615,3,1922,14
527,4484963.790362153,3,1922,14
528,22840783.34127461,3,1923,14
529,16081678.299365168,2,1923,14
530,495022.5726766153,2,1924,14
531,6181018.338883414,1,1925,14
532,4333652.03035827,4,1925,14
533,34190308.19379434,1,1926,14
534,11044767.057764724,4,1926,14
535,2919118.1129194223,4,1927,14
536,20654097.426807974,2,1927,14
537,11859170.838333635,3,1928,14
538,8649361.003652947,2,1928,14
539,74944537.47258618,3,1928,14
540,488706.3200489112,3,1929,14
541,64385044.12397243,1,1930,14
542,1357023.0712119956,3,1931,14
543,253557.8501815145,3,1931,14
544,29528571.417754907,1,1931,14
545,14112502.416393187,3,1932,14
546,20281365.794139285,1,1932,14
547,1055261.2004543436,2,1933,15
548,7125503.434433036,1,1934,15
549,17421748.50432564,4,1934,15
550,2272535.7829883946,2,1934,15
551,26434155.109051406,3,1935,15
552,30637066.57582172,3,1935,15
553,7982565.055105539,1,1936,15
554,28448.066481338814,2,1937,15
555,36288178.74431455,1,1937,15
556,2415916.5327595,3,1938,15
557,33851.61195765715,2,1938,15
558,15368984.576643601,3,1939,15
559,164799.75330418628,4,1939,15
560,3549226.2935511414,3,1939,15
561,468573.8037070343,1,1940,15
562,2582980.3690704303,1,1940,15
563,9818978.738391547,4,1941,15
564,358617.9970966693,2,1941,15
565,20409925.959153324,1,1941,15
566,31266846.973761674,4,1942,15
567,44948204.82900526,3,1942,15
568,13922941.793475853,1,1943,15
569,8298047.946386831,4,1944,15
570,18394462.30099502,4,1945,15
571,3756117.2820296367,4,1946,15
572,239042.32856499945,1,1946,15
573,226987.58053636353,3,1946,15
574,1781149.8038958658,2,1947,15
575,23981862.219067506,4,1947,15
576,56282795.44208095,2,1947,15
577,19553399.362847645,1,1948,15
578,143161.0984489147,2,1949,15
579,19088010.242084377,2,1949,15
580,8564104.068466611,1,1949,15
581,5872409.128120784,3,1950,15
582,14222080.667722495,3,1950,15
583,35438673.37336275,1,1950,15
584,61653918.973762065,2,1951,15
585,9709475.003775185,3,1951,15
586,17180179.01576934,1,1951,15
587,579634.3743903416,1,1952,15
588,1228703.7594579891,1,1953,16
589,616979.9316359959,1,1953,16
590,246742.76555298665,2,1953,16
591,23812725.522375975,1,1954,16
592,14069909.45666141,2,1955,16
593,15721434.167182427,1,1955,16
594,22549.95701569569,2,1955,16
595,242760.3186567081,4,1956,16
596,483082.0808594858,1,1957,16
597,4726215.984719451,3,1957,16
598,23639024.76954093,1,1957,16
599,9846987.632283403,1,1958,16
600,4307773.405020483,3,1958,16
601,2698257.041032117,1,1958,16
602,1903362.6357696888,4,1959,16
603,11278706.50721015,2,1959,16
604,4277481.667009882,3,1959,16
605,281322.39994754945,4,1960,16
606,3393799.0980016347,2,1961,16
607,1150181.3794328626,4,1962,16
608,49458214.01471104,3,1962,16
609,52432791.643345535,3,1963,16
610,7872531.220305035,4,1963,16
611,24581018.93203473,3,1963,16
612,542898.0644376297,1,1964,16
613,35347345.97619069,4,1964,16
614,6964800.880552723,3,1965,16
615,1209548.011240691,3,1965,16
616,42197856.96865262,4,1965,16
617,5475946.501888815,2,1966,16
618,371775.5684561997,2,1967,16
619,282034.79682667303,4,1967,16
620,37019816.21107982,2,1967,16
621,21830003.11064744,1,1968,16
622,10762289.675280597,4,1968,16
623,27468948.25802816,3,1968,16
624,14365370.72189502,3,1969,16
625,5106384.414488142,4,1969,16
626,17121638.1125515,2,1970,16
627,12775172.511067174,3,1970,16
628,3211534.193054041,3,1971,16
629,26718622.554585148,1,1971,16
630,6417313.086729706,4,1972,16
631,886774.4622641208,1,1972,16
632,47194497.30546713,2,1972,16
633,2849392.9858853472,4,1973,17
634,59549482.0379682,2,1974,17
635,55130.20485698478,4,1975,17
636,2291238.7826423203,2,1976,17
637,200128.22635012877,2,1977,17
638,321597.16867719474,1,1977,17
639,6412227.732514307,2,1978,17
640,13587937.631038675,2,1978,17
641,9209100.589653887,2,1978,17
642,10024319.577428017,2,1979,17
643,7888007.212426044,4,1979,17
644,339687.55882744864,1,1979,17
645,1902926.4971796658,4,1980,17
646,12067527.845627412,4,1981,17
647,23434150.00673627,2,1982,17
648,12468558.88328621,3,1982,17
649,7208677.416108827,1,1983,17
650,154373.99137939664,1,1984,17
651,7866456.264405919,3,1984,17
652,9090313.692032333,3,1985,17
653,6039922.262568301,3,1985,17
654,13888371.793474846,1,1985,17
655,81965965.66811949,1,1986,17
656,4962481.0614039395,2,1986,17
657,22885376.859744992,4,1987,17
658,69511302.22571822,2,1987,17
659,13094185.207531648,4,1988,17
660,6936900.339099881,1,1988,17
661,86547510.18518469,1,1989,17
662,6695278.049119568,1,1990,17
663,26910136.881510194,3,1991,17
664,4635997.37793272,1,1991,17
665,36811259.75079715,1,1991,17
666,6727237.015846703,4,1992,17
667,10064806.043130152,4,1993,18
668,2171286.805660166,3,1994,18
669,8766138.90310944,3,1994,18
670,9372341.758231156,3,1995,18
671,653289.015308029,3,1995,18
672,3643594.3765211566,1,1996,18
673,40368939.37831217,4,1997,18
674,21474844.27288589,2,1998,18
675,9986336.31246864,1,1998,18
676,23936675.824589737,2,1999,18
677,1282274.9718122962,4,1999,18
678,5031566.097986443,2,2000,18
679,2667872.1535685174,4,2000,18
680,51471402.62509496,2,2001,18
681,7114364.368330076,2,2002,18
682,12593120.603995048,3,2002,18
683,52358103.623405665,4,2003,18
684,21395902.23967444,2,2003,18
685,574015.5786883216,1,2003,18
686,4289707.375749588,2,2004,18
687,33905618.98995638,2,2004,18
688,4672424.664921602,3,2005,18
689,26993752.93120922,4,2006,18
690,11524308.685341164,2,2006,18
691,1260919.4014067557,4,2007,18
692,19662138.208159607,4,2008,18
693,85122669.6746254,3,2009,18
694,126744.73617447057,4,2010,18
695,11119537.406447925,1,2011,18
696,70478672.65613335,1,2011,18
697,1938254.431870894,1,2011,18
698,3946948.550477545,3,2012,18
699,479345.72480217344,2,2013,19
700,46799.486926861864,3,2014,19
701,14134328.210006135,1,2015,19
702,31876915.51845301,2,2015,19
703,7620048.424274203,4,2015,19
704,249605.57225761656,4,2016,19
705,13132151.747368947,4,2017,19
706,4478256.19606404,3,2017,19
707,3240299.0005788663,2,2018,19
708,100349741.73634484,4,2018,19
709,1996753.6526902649,3,2019,19
710,33819294.44753345,1,2019,19
711,43797294.65857261,2,2020,19
712,3928208.6712013376,4,2020,19
713,17852148.33088777,2,2020,19
714,61229445.440863386,1,2021,19
715,40801.87023515068,2,2021,19
716,21990460.924729075,1,2021,19
717,2583554.9620011086,1,2022,19
718,46285004.401317276,3,2022,19
719,907039.0302884202,4,2022,19
720,16874616.098332696,3,2023,19
721,3544993.367636904,1,2024,19
722,17782461.206348386,2,2024,19
723,9742208.078796092,3,2025,19
724,12144582.890117392,1,2025,19
725,18313360.613621287,2,2025,19
726,820919.759347175,3,2026,19
727,19663808.310342137,1,2026,19
728,4654805.289882477,4,2027,19
729,18414358.03182266,3,2027,19
730,983596.4804582,1,2027,19
731,26987765.04236662,4,2028,19
732,44481079.24122831,4,2029,19
733,41127293.5591216,4,2030,19
734,1622810.781155013,2,2030,19
735,6162061.363139823,4,2030,19
736,4434735.193572847,3,2031,19
737,1316226.6661913386,2,2032,19
738,6396118.027968882,2,2032,19
739,12223805.337575935,4,2033,20
740,7594366.66882349,4,2034,20
741,33824692.05343068,3,2035,20
742,4769718.49783056,4,2035,20
743,52635774.40115093,1,2035,20
744,65483509.87303409,2,2036,20
745,52066919.42780238,2,2036,20
746,2480667.4809884643,2,2037,20
747,208946.27839469345,1,2038,20
748,50484120.621362746,1,2039,20
749,146276.93328513455,3,2039,20
750,16168581.967403525,4,2040,20
751,24749462.37310327,1,2040,20
752,49327335.80198518,1,2041,20
753,264250.5113313088,3,2041,20
754,36352814.6956277,3,2041,20
755,3161837.456497871,4,2042,20
756,71424.04382126452,2,2042,20
757,6929142.816441399,1,2042,20
758,25341582.007188242,4,2043,20
759,3770633.9481884325,2,2043,20
760,47280528.03731864,2,2043,20
761,6206870.413498948,2,2044,20
762,12926641.11682852,3,2044,20
763,28330515.77884767,1,2045,20
764,39897381.081622325,2,2045,20
765,6556279.667877594,2,2046,20
766,57766743.42152792,1,2047,20
767,15892988.719007025,3,2048,20
768,29483809.71970304,2,2048,20
769,476116.04224015493,4,2048,20
770,3498056.0233360664,2,2049,20
771,85625019.1684351,4,2050,20
772,29292365.51262881,1,2050,20
773,11112356.253896903,1,2051,20
774,11581068.99856389,2,2052,20
775,1189551.3922412589,1,2053,21
776,36855025.28958559,2,2053,21
777,24299707.320354316,3,2054,21
778,39017427.482539415,1,2055,21
779,1672834.6321881528,1,2055,21
780,6912690.525718861,3,2055,21
781,6229792.476701742,4,2056,21
782,14008743.426546877,1,2056,21
783,42408514.85083686,2,2057,21
784,48743737.07305451,1,2057,21
785,5140432.9277012255,4,2058,21
786,28011769.29717404,3,2058,21
787,2403732.0739856767,2,2059,21
788,53052289.486151055,1,2059,21
789,5392295.730382271,3,2059,21
790,693125.1679315658,2,2060,21
791,2832494.102240421,1,2060,21
792,15811428.381040163,2,2061,21
793,3224057.611588071,2,2061,21
794,7756804.168770419,2,2062,21
795,128822.11833767261,1,2063,21
796,744901.6336435715,4,2063,21
797,65397893.58054188,4,2064,21
798,24072643.047870394,4,2065,21
799,9223215.696760548,1,2065,21
800,30863440.79638961,4,2065,21
801,56378573.95272789,3,2066,21
802,15424581.866221575,4,2066,21
803,1737189.9371102087,2,2066,21
804,14050587.925276302,1,2067,21
805,32225326.250613064,3,2067,21
806,4601944.5954726115,1,2068,21
807,48324717.83111349,3,2068,21
808,3749560.0332239303,1,2069,21
809,13379922.414895851,4,2070,21
810,27137950.60328225,4,2070,21
811,31132645.15683144,2,2071,21
812,13638938.04803494,4,2071,21
813,12341774.662169667,3,2072,21
814,26403614.329071693,2,2072,21
815,2894519.0441227145,1,2073,22
