ID,PIN,EMAIL,TIPO
1738,'empresa12','empresa12@example.com',2
1739,'cliente87','cliente87@example.com',1
1740,'cliente88','cliente88@example.com',1
1741,'cliente89','cliente89@example.com',1
1742,'empresa13','empresa13@example.com',2
1743,'cliente91','cliente91@example.com',1
1744,'cliente92','cliente92@example.com',1
1745,'empresa14','empresa14@example.com',2
1746,'cliente94','cliente94@example.com',1
1747,'cliente95','cliente95@example.com',1
1748,'cliente96','cliente96@example.com',1
1749,'cliente97','cliente97@example.com',1
1750,'cliente98','cliente98@example.com',1
1751,'cliente99','cliente99@example.com',1
1752,'empresa15','empresa15@example.com',2
1753,'cliente101','cliente101@example.com',1
1754,'cliente102','cliente102@example.com',1
1755,'cliente103','cliente103@example.com',1
1756,'cliente104','cliente104@example.com',1
1757,'cliente105','cliente105@example.com',1
1758,'empresa16','empresa16@example.com',2
1759,'empresa17','empresa17@example.com',2
1760,'cliente108','cliente108@example.com',1
1761,'cliente109','cliente109@example.com',1
1762,'cliente110','cliente110@example.com',1
1763,'cliente111','cliente111@example.com',1
1764,'cliente112','cliente112@example.com',1
1765,'cliente113','cliente113@example.com',1
1766,'cliente114','cliente114@example.com',1
1767,'empresa18','empresa18@example.com',2
1768,'cliente116','cliente116@example.com',1
1769,'cliente117','cliente117@example.com',1
1770,'cliente118','cliente118@example.com',1
1771,'cliente119','cliente119@example.com',1
1772,'cliente120','cliente120@example.com',1
1773,'cliente121','cliente121@example.com',1
1774,'cliente122','cliente122@example.com',1
1775,'empresa19','empresa19@example.com',2
1776,'empresa20','empresa20@example.com',2
1777,'empresa21','empresa21@example.com',2
1778,'cliente126','cliente126@example.com',1
1779,'cliente127','cliente127@example.com',1
1780,'cliente128','cliente128@example.com',1
1781,'cliente129','cliente129@example.com',1
1782,'cliente130','cliente130@example.com',1
1783,'cliente131','cliente131@example.com',1
1784,'cliente132','cliente132@example.com',1
1785,'cliente133','cliente133@example.com',1
1786,'cliente134','cliente134@example.com',1
1787,'cliente135','cliente135@example.com',1
1788,'cliente136','cliente136@example.com',1
1789,'empresa22','empresa22@example.com',2
1790,'empresa23','empresa23@example.com',2
1791,'cliente139','cliente139@example.com',1
1792,'cliente140','cliente140@example.com',1
1793,'cliente141','cliente141@example.com',1
1794,'cliente142','cliente142@example.com',1
1795,'cliente143','cliente143@example.com',1
1796,'empresa24','empresa24@example.com',2
1797,'cliente145','cliente145@example.com',1
1798,'cliente146','cliente146@example.com',1
1799,'cliente147','cliente147@example.com',1
1800,'cliente148','cliente148@example.com',1
1801,'cliente149','cliente149@example.com',1
1802,'empresa25','empresa25@example.com',2
1803,'cliente151','cliente151@example.com',1
1804,'cliente152','cliente152@example.com',1
1805,'cliente153','cliente153@example.com',1
1806,'empresa26','empresa26@example.com',2
1807,'cliente155','cliente155@example.com',1
1808,'cliente156','cliente156@example.com',1
1809,'cliente157','cliente157@example.com',1
1810,'cliente158','cliente158@example.com',1
1811,'cliente159','cliente159@example.com',1
1812,'cliente160','cliente160@example.com',1
1813,'cliente161','cliente161@example.com',1
1814,'cliente162','cliente162@example.com',1
1815,'empresa27','empresa27@example.com',2
1816,'cliente164','cliente164@example.com',1
1817,'cliente165','cliente165@example.com',1
1818,'cliente166','cliente166@example.com',1
1819,'empresa28','empresa28@example.com',2
1820,'cliente168','cliente168@example.com',1
1821,'cliente169','cliente169@example.com',1
1822,'cliente170','cliente170@example.com',1
1823,'cliente171','cliente171@example.com',1
1824,'cliente172','cliente172@example.com',1
1825,'cliente173','cliente173@example.com',1
1826,'cliente174','cliente174@example.com',1
1827,'cliente175','cliente175@example.com',1
1828,'cliente176','cliente176@example.com',1
1829,'cliente177','cliente177@example.com',1
1830,'empresa29','empresa29@example.com',2
1831,'empresa30','empresa30@example.com',2
1832,'cliente180','cliente180@example.com',1
1833,'cliente181','cliente181@example.com',1
1834,'cliente182','cliente182@example.com',1
1835,'cliente183','cliente183@example.com',1
1836,'cliente184','cliente184@example.com',1
1837,'cliente185','cliente185@example.com',1
1838,'cliente186','cliente186@example.com',1
1839,'cliente187','cliente187@example.com',1
1840,'cliente188','cliente188@example.com',1
1841,'empresa31','empresa31@example.com',2
1842,'empresa32','empresa32@example.com',2
1843,'cliente191','cliente191@example.com',1
1844,'empresa33','empresa33@example.com',2
1845,'empresa34','empresa34@example.com',2
1846,'cliente194','cliente194@example.com',1
1847,'cliente195','cliente195@example.com',1
1848,'empresa35','empresa35@example.com',2
1849,'cliente197','cliente197@example.com',1
1850,'cliente198','cliente198@example.com',1
1851,'cliente199','cliente199@example.com',1
1852,'cliente200','cliente200@example.com',1
1853,'cliente201','cliente201@example.com',1
1854,'empresa36','empresa36@example.com',2
1855,'empresa37','empresa37@example.com',2
1856,'cliente204','cliente204@example.com',1
1857,'cliente205','cliente205@example.com',1
1858,'cliente206','cliente206@example.com',1
1859,'empresa38','empresa38@example.com',2
1860,'cliente208','cliente208@example.com',1
1861,'cliente209','cliente209@example.com',1
1862,'cliente210','cliente210@example.com',1
1863,'empresa39','empresa39@example.com',2
1864,'cliente212','cliente212@example.com',1
1865,'cliente213','cliente213@example.com',1
1866,'cliente214','cliente214@example.com',1
1867,'cliente215','cliente215@example.com',1
1868,'cliente216','cliente216@example.com',1
1869,'empresa40','empresa40@example.com',2
1870,'empresa41','empresa41@example.com',2
1871,'cliente219','cliente219@example.com',1
1872,'cliente220','cliente220@example.com',1
1873,'cliente221','cliente221@example.com',1
1874,'cliente222','cliente222@example.com',1
1875,'cliente223','cliente223@example.com',1
1876,'cliente224','cliente224@example.com',1
1877,'empresa42','empresa42@example.com',2
1878,'empresa43','empresa43@example.com',2
1879,'empresa44','empresa44@example.com',2
1880,'cliente228','cliente228@example.com',1
1881,'cliente229','cliente229@example.com',1
1882,'empresa45','empresa45@example.com',2
1883,'cliente231','cliente231@example.com',1
1884,'cliente232','cliente232@example.com',1
1885,'cliente233','cliente233@example.com',1
1886,'cliente234','cliente234@example.com',1
1887,'cliente235','cliente235@example.com',1
1888,'cliente236','cliente236@example.com',1
1889,'cliente237','cliente237@example.com',1
1890,'cliente238','cliente238@example.com',1
1891,'cliente239','cliente239@example.com',1
1892,'cliente240','cliente240@example.com',1
1893,'cliente241','cliente241@example.com',1
1894,'cliente242','cliente242@example.com',1
1895,'cliente243','cliente243@example.com',1
1896,'empresa46','empresa46@example.com',2
1897,'cliente245','cliente245@example.com',1
1898,'cliente246','cliente246@example.com',1
1899,'cliente247','cliente247@example.com',1
1900,'cliente248','cliente248@example.com',1
1901,'cliente249','cliente249@example.com',1
1902,'empresa47','empresa47@example.com',2
1903,'cliente251','cliente251@example.com',1
1904,'cliente252','cliente252@example.com',1
1905,'cliente253','cliente253@example.com',1
1906,'empresa48','empresa48@example.com',2
1907,'cliente255','cliente255@example.com',1
1908,'cliente256','cliente256@example.com',1
1909,'cliente257','cliente257@example.com',1
1910,'cliente258','cliente258@example.com',1
1911,'cliente259','cliente259@example.com',1
1912,'cliente260','cliente260@example.com',1
1913,'cliente261','cliente261@example.com',1
1914,'empresa49','empresa49@example.com',2
1915,'empresa50','empresa50@example.com',2
1916,'cliente264','cliente264@example.com',1
1917,'cliente265','cliente265@example.com',1
1918,'empresa51','empresa51@example.com',2
1919,'cliente267','cliente267@example.com',1
1920,'cliente268','cliente268@example.com',1
1921,'cliente269','cliente269@example.com',1
1922,'cliente270','cliente270@example.com',1
1923,'cliente271','cliente271@example.com',1
1924,'empresa52','empresa52@example.com',2
1925,'empresa53','empresa53@example.com',2
1926,'cliente274','cliente274@example.com',1
1927,'cliente275','cliente275@example.com',1
1928,'empresa54','empresa54@example.com',2
1929,'cliente277','cliente277@example.com',1
1930,'cliente278','cliente278@example.com',1
1931,'cliente279','cliente279@example.com',1
1932,'cliente280','cliente280@example.com',1
1933,'cliente281','cliente281@example.com',1
1934,'cliente282','cliente282@example.com',1
1935,'cliente283','cliente283@example.com',1
1936,'cliente284','cliente284@example.com',1
1937,'cliente285','cliente285@example.com',1
1938,'cliente286','cliente286@example.com',1
1939,'cliente287','cliente287@example.com',1
1940,'cliente288','cliente288@example.com',1
1941,'cliente289','cliente289@example.com',1
1942,'cliente290','cliente290@example.com',1
1943,'empresa55','empresa55@example.com',2
1944,'cliente292','cliente292@example.com',1
1945,'cliente293','cliente293@example.com',1
1946,'cliente294','cliente294@example.com',1
1947,'empresa56','empresa56@example.com',2
1948,'cliente296','cliente296@example.com',1
1949,'cliente297','cliente297@example.com',1
1950,'cliente298','cliente298@example.com',1
1951,'cliente299','cliente299@example.com',1
1952,'empresa57','empresa57@example.com',2
1953,'cliente301','cliente301@example.com',1
1954,'cliente302','cliente302@example.com',1
1955,'empresa58','empresa58@example.com',2
1956,'cliente304','cliente304@example.com',1
1957,'cliente305','cliente305@example.com',1
1958,'empresa59','empresa59@example.com',2
1959,'cliente307','cliente307@example.com',1
1960,'empresa60','empresa60@example.com',2
1961,'cliente309','cliente309@example.com',1
1962,'cliente310','cliente310@example.com',1
1963,'cliente311','cliente311@example.com',1
1964,'cliente312','cliente312@example.com',1
1965,'cliente313','cliente313@example.com',1
1966,'cliente314','cliente314@example.com',1
1967,'empresa61','empresa61@example.com',2
1968,'cliente316','cliente316@example.com',1
1969,'cliente317','cliente317@example.com',1
1970,'cliente318','cliente318@example.com',1
1971,'cliente319','cliente319@example.com',1
1972,'cliente320','cliente320@example.com',1
1973,'cliente321','cliente321@example.com',1
1974,'cliente322','cliente322@example.com',1
1975,'cliente323','cliente323@example.com',1
1976,'cliente324','cliente324@example.com',1
1977,'cliente325','cliente325@example.com',1
1978,'cliente326','cliente326@example.com',1
1979,'cliente327','cliente327@example.com',1
1980,'cliente328','cliente328@example.com',1
1981,'cliente329','cliente329@example.com',1
1982,'cliente330','cliente330@example.com',1
1983,'cliente331','cliente331@example.com',1
1984,'cliente332','cliente332@example.com',1
1985,'cliente333','cliente333@example.com',1
1986,'cliente334','cliente334@example.com',1
1987,'cliente335','cliente335@example.com',1
1988,'cliente336','cliente336@example.com',1
1989,'cliente337','cliente337@example.com',1
1990,'cliente338','cliente338@example.com',1
1991,'cliente339','cliente339@example.com',1
1992,'cliente340','cliente340@example.com',1
1993,'cliente341','cliente341@example.com',1
1994,'cliente342','cliente342@example.com',1
1995,'cliente343','cliente343@example.com',1
1996,'cliente344','cliente344@example.com',1
1997,'cliente345','cliente345@example.com',1
1998,'cliente346','cliente346@example.com',1
1999,'cliente347','cliente347@example.com',1
2000,'cliente348','cliente348@example.com',1
2001,'empresa62','empresa62@example.com',2
2002,'cliente350','cliente350@example.com',1
2003,'cliente351','cliente351@example.com',1
2004,'empresa63','empresa63@example.com',2
2005,'empresa64','empresa64@example.com',2
2006,'empresa65','empresa65@example.com',2
2007,'cliente355','cliente355@example.com',1
2008,'empresa66','empresa66@example.com',2
2009,'cliente357','cliente357@example.com',1
2010,'empresa67','empresa67@example.com',2
2011,'cliente359','cliente359@example.com',1
2012,'cliente360','cliente360@example.com',1
2013,'cliente361','cliente361@example.com',1
2014,'empresa68','empresa68@example.com',2
2015,'cliente363','cliente363@example.com',1
2016,'cliente364','cliente364@example.com',1
2017,'cliente365','cliente365@example.com',1
2018,'cliente366','cliente366@example.com',1
2019,'empresa69','empresa69@example.com',2
2020,'cliente368','cliente368@example.com',1
2021,'cliente369','cliente369@example.com',1
2022,'cliente370','cliente370@example.com',1
2023,'cliente371','cliente371@example.com',1
2024,'empresa70','empresa70@example.com',2
2025,'cliente373','cliente373@example.com',1
2026,'cliente374','cliente374@example.com',1
2027,'cliente375','cliente375@example.com',1
2028,'cliente376','cliente376@example.com',1
2029,'empresa71','empresa71@example.com',2
2030,'cliente378','cliente378@example.com',1
2031,'cliente379','cliente379@example.com',1
2032,'cliente380','cliente380@example.com',1
2033,'cliente381','cliente381@example.com',1
2034,'cliente382','cliente382@example.com',1
2035,'empresa72','empresa72@example.com',2
2036,'cliente384','cliente384@example.com',1
2037,'cliente385','cliente385@example.com',1
2038,'cliente386','cliente386@example.com',1
2039,'cliente387','cliente387@example.com',1
2040,'cliente388','cliente388@example.com',1
2041,'cliente389','cliente389@example.com',1
2042,'empresa73','empresa73@example.com',2
2043,'cliente391','cliente391@example.com',1
2044,'cliente392','cliente392@example.com',1
2045,'cliente393','cliente393@example.com',1
2046,'cliente394','cliente394@example.com',1
2047,'cliente395','cliente395@example.com',1
2048,'cliente396','cliente396@example.com',1
2049,'cliente397','cliente397@example.com',1
2050,'empresa74','empresa74@example.com',2
2051,'cliente399','cliente399@example.com',1
2052,'empresa75','empresa75@example.com',2
2053,'empresa76','empresa76@example.com',2
2054,'cliente402','cliente402@example.com',1
2055,'cliente403','cliente403@example.com',1
2056,'cliente404','cliente404@example.com',1
2057,'cliente405','cliente405@example.com',1
2058,'empresa77','empresa77@example.com',2
2059,'cliente407','cliente407@example.com',1
2060,'empresa78','empresa78@example.com',2
2061,'cliente409','cliente409@example.com',1
2062,'cliente410','cliente410@example.com',1
2063,'cliente411','cliente411@example.com',1
2064,'empresa79','empresa79@example.com',2
2065,'cliente413','cliente413@example.com',1
2066,'empresa80','empresa80@example.com',2
2067,'cliente415','cliente415@example.com',1
2068,'cliente416','cliente416@example.com',1
2069,'cliente417','cliente417@example.com',1
2070,'cliente418','cliente418@example.com',1
2071,'cliente419','cliente419@example.com',1
2072,'cliente420','cliente420@example.com',1
2073,'cliente421','cliente421@example.com',1
2074,'empresa81','empresa81@example.com',2
2075,'cliente423','cliente423@example.com',1
2076,'cliente424','cliente424@example.com',1
2077,'cliente425','cliente425@example.com',1
2078,'empresa82','empresa82@example.com',2
2079,'cliente427','cliente427@example.com',1
2080,'cliente428','cliente428@example.com',1
2081,'cliente429','cliente429@example.com',1
2082,'empresa83','empresa83@example.com',2
2083,'empresa84','empresa84@example.com',2
2084,'cliente432','cliente432@example.com',1
2085,'cliente433','cliente433@example.com',1
2086,'cliente434','cliente434@example.com',1
2087,'empresa85','empresa85@example.com',2
2088,'cliente436','cliente436@example.com',1
2089,'cliente437','cliente437@example.com',1
2090,'cliente438','cliente438@example.com',1
2091,'cliente439','cliente439@example.com',1
2092,'cliente440','cliente440@example.com',1
2093,'empresa86','empresa86@example.com',2
2094,'cliente442','cliente442@example.com',1
2095,'cliente443','cliente443@example.com',1
2096,'cliente444','cliente444@example.com',1
2097,'empresa87','empresa87@example.com',2
2098,'cliente446','cliente446@example.com',1
2099,'cliente447','cliente447@example.com',1
2100,'cliente448','cliente448@example.com',1
2101,'cliente449','cliente449@example.com',1
2102,'cliente450','cliente450@example.com',1
2103,'cliente451','cliente451@example.com',1
2104,'cliente452','cliente452@example.com',1
2105,'cliente453','cliente453@example.com',1
2106,'empresa88','empresa88@example.com',2
2107,'cliente455','cliente455@example.com',1
2108,'cliente456','cliente456@example.com',1
2109,'cliente457','cliente457@example.com',1
2110,'cliente458','cliente458@example.com',1
2111,'cliente459','cliente459@example.com',1
2112,'cliente460','cliente460@example.com',1
2113,'cliente461','cliente461@example.com',1
2114,'cliente462','cliente462@example.com',1
2115,'cliente463','cliente463@example.com',1
2116,'empresa89','empresa89@example.com',2
2117,'cliente465','cliente465@example.com',1
2118,'cliente466','cliente466@example.com',1
2119,'cliente467','cliente467@example.com',1
2120,'cliente468','cliente468@example.com',1
2121,'cliente469','cliente469@example.com',1
2122,'cliente470','cliente470@example.com',1
2123,'empresa90','empresa90@example.com',2
2124,'cliente472','cliente472@example.com',1
2125,'cliente473','cliente473@example.com',1
2126,'cliente474','cliente474@example.com',1
2127,'cliente475','cliente475@example.com',1
2128,'cliente476','cliente476@example.com',1
2129,'cliente477','cliente477@example.com',1
2130,'cliente478','cliente478@example.com',1
2131,'cliente479','cliente479@example.com',1
2132,'cliente480','cliente480@example.com',1
2133,'cliente481','cliente481@example.com',1
2134,'cliente482','cliente482@example.com',1
2135,'cliente483','cliente483@example.com',1
2136,'cliente484','cliente484@example.com',1
2137,'empresa91','empresa91@example.com',2
2138,'cliente486','cliente486@example.com',1
2139,'cliente487','cliente487@example.com',1
2140,'cliente488','cliente488@example.com',1
2141,'cliente489','cliente489@example.com',1
2142,'cliente490','cliente490@example.com',1
2143,'empresa92','empresa92@example.com',2
2144,'empresa93','empresa93@example.com',2
2145,'empresa94','empresa94@example.com',2
2146,'cliente494','cliente494@example.com',1
2147,'empresa95','empresa95@example.com',2
2148,'cliente496','cliente496@example.com',1
2149,'cliente497','cliente497@example.com',1
2150,'cliente498','cliente498@example.com',1
2151,'cliente499','cliente499@example.com',1
2152,'cliente500','cliente500@example.com',1
2153,'cliente501','cliente501@example.com',1
2154,'empresa96','empresa96@example.com',2
2155,'cliente503','cliente503@example.com',1
2156,'cliente504','cliente504@example.com',1
2157,'cliente505','cliente505@example.com',1
2158,'cliente506','cliente506@example.com',1
2159,'cliente507','cliente507@example.com',1
2160,'cliente508','cliente508@example.com',1
2161,'cliente509','cliente509@example.com',1
2162,'cliente510','cliente510@example.com',1
2163,'empresa97','empresa97@example.com',2
2164,'cliente512','cliente512@example.com',1
2165,'cliente513','cliente513@example.com',1
2166,'cliente514','cliente514@example.com',1
2167,'cliente515','cliente515@example.com',1
2168,'cliente516','cliente516@example.com',1
2169,'cliente517','cliente517@example.com',1
2170,'cliente518','cliente518@example.com',1
2171,'empresa98','empresa98@example.com',2
2172,'cliente520','cliente520@example.com',1
2173,'empresa99','empresa99@example.com',2
2174,'cliente522','cliente522@example.com',1
2175,'cliente523','cliente523@example.com',1
2176,'cliente524','cliente524@example.com',1
2177,'cliente525','cliente525@example.com',1
2178,'cliente526','cliente526@example.com',1
2179,'cliente527','cliente527@example.com',1
2180,'cliente528','cliente528@example.com',1
2181,'cliente529','cliente529@example.com',1
2182,'cliente530','cliente530@example.com',1
2183,'cliente531','cliente531@example.com',1
2184,'empresa100','empresa100@example.com',2
2185,'cliente533','cliente533@example.com',1
2186,'cliente534','cliente534@example.com',1
2187,'cliente535','cliente535@example.com',1
2188,'cliente536','cliente536@example.com',1
2189,'cliente537','cliente537@example.com',1
2190,'cliente538','cliente538@example.com',1
2191,'cliente539','cliente539@example.com',1
2192,'cliente540','cliente540@example.com',1
2193,'cliente541','cliente541@example.com',1
2194,'cliente542','cliente542@example.com',1
2195,'cliente543','cliente543@example.com',1
2196,'cliente544','cliente544@example.com',1
2197,'cliente545','cliente545@example.com',1
2198,'cliente546','cliente546@example.com',1
2199,'cliente547','cliente547@example.com',1
2200,'cliente548','cliente548@example.com',1
2201,'cliente549','cliente549@example.com',1
2202,'cliente550','cliente550@example.com',1
2203,'cliente551','cliente551@example.com',1
2204,'cliente552','cliente552@example.com',1
2205,'cliente553','cliente553@example.com',1
2206,'cliente554','cliente554@example.com',1
2207,'cliente555','cliente555@example.com',1
2208,'cliente556','cliente556@example.com',1
2209,'empresa101','empresa101@example.com',2
2210,'cliente558','cliente558@example.com',1
2211,'cliente559','cliente559@example.com',1
2212,'empresa102','empresa102@example.com',2
2213,'cliente561','cliente561@example.com',1
2214,'cliente562','cliente562@example.com',1
2215,'empresa103','empresa103@example.com',2
2216,'cliente564','cliente564@example.com',1
2217,'cliente565','cliente565@example.com',1
2218,'cliente566','cliente566@example.com',1
2219,'empresa104','empresa104@example.com',2
2220,'cliente568','cliente568@example.com',1
2221,'empresa105','empresa105@example.com',2
2222,'cliente570','cliente570@example.com',1
2223,'cliente571','cliente571@example.com',1
2224,'cliente572','cliente572@example.com',1
2225,'cliente573','cliente573@example.com',1
2226,'cliente574','cliente574@example.com',1
2227,'cliente575','cliente575@example.com',1
2228,'cliente576','cliente576@example.com',1
2229,'cliente577','cliente577@example.com',1
2230,'empresa106','empresa106@example.com',2
2231,'cliente579','cliente579@example.com',1
2232,'empresa107','empresa107@example.com',2
2233,'cliente581','cliente581@example.com',1
2234,'empresa108','empresa108@example.com',2
2235,'cliente583','cliente583@example.com',1
2236,'cliente584','cliente584@example.com',1
2237,'cliente585','cliente585@example.com',1
2238,'cliente586','cliente586@example.com',1
2239,'cliente587','cliente587@example.com',1
2240,'cliente588','cliente588@example.com',1
2241,'empresa109','empresa109@example.com',2
2242,'empresa110','empresa110@example.com',2
2243,'empresa111','empresa111@example.com',2
2244,'cliente592','cliente592@example.com',1
2245,'cliente593','cliente593@example.com',1
2246,'cliente594','cliente594@example.com',1
2247,'empresa112','empresa112@example.com',2
2248,'empresa113','empresa113@example.com',2
2249,'cliente597','cliente597@example.com',1
2250,'cliente598','cliente598@example.com',1
2251,'cliente599','cliente599@example.com',1
2252,'cliente600','cliente600@example.com',1
2253,'cliente601','cliente601@example.com',1
2254,'empresa114','empresa114@example.com',2
2255,'empresa115','empresa115@example.com',2
2256,'cliente604','cliente604@example.com',1
2257,'cliente605','cliente605@example.com',1
2258,'cliente606','cliente606@example.com',1
2259,'cliente607','cliente607@example.com',1
2260,'cliente608','cliente608@example.com',1
2261,'empresa116','empresa116@example.com',2
2262,'cliente610','cliente610@example.com',1
2263,'cliente611','cliente611@example.com',1
2264,'cliente612','cliente612@example.com',1
2265,'cliente613','cliente613@example.com',1
2266,'cliente614','cliente614@example.com',1
2267,'cliente615','cliente615@example.com',1
2268,'cliente616','cliente616@example.com',1
2269,'empresa117','empresa117@example.com',2
2270,'cliente618','cliente618@example.com',1
2271,'cliente619','cliente619@example.com',1
2272,'cliente620','cliente620@example.com',1
2273,'empresa118','empresa118@example.com',2
2274,'cliente622','cliente622@example.com',1
2275,'cliente623','cliente623@example.com',1
2276,'cliente624','cliente624@example.com',1
2277,'cliente625','cliente625@example.com',1
2278,'empresa119','empresa119@example.com',2
2279,'empresa120','empresa120@example.com',2
2280,'cliente628','cliente628@example.com',1
2281,'empresa121','empresa121@example.com',2
2282,'cliente630','cliente630@example.com',1
2283,'cliente631','cliente631@example.com',1
2284,'cliente632','cliente632@example.com',1
2285,'cliente633','cliente633@example.com',1
2286,'cliente634','cliente634@example.com',1
2287,'cliente635','cliente635@example.com',1
2288,'cliente636','cliente636@example.com',1
2289,'cliente637','cliente637@example.com',1
2290,'empresa122','empresa122@example.com',2
2291,'empresa123','empresa123@example.com',2
2292,'cliente640','cliente640@example.com',1
2293,'cliente641','cliente641@example.com',1
2294,'cliente642','cliente642@example.com',1
2295,'cliente643','cliente643@example.com',1
2296,'cliente644','cliente644@example.com',1
2297,'cliente645','cliente645@example.com',1
2298,'cliente646','cliente646@example.com',1
2299,'cliente647','cliente647@example.com',1
2300,'cliente648','cliente648@example.com',1
2301,'cliente649','cliente649@example.com',1
2302,'cliente650','cliente650@example.com',1
2303,'empresa124','empresa124@example.com',2
2304,'empresa125','empresa125@example.com',2
2305,'cliente653','cliente653@example.com',1
2306,'cliente654','cliente654@example.com',1
2307,'empresa126','empresa126@example.com',2
2308,'cliente656','cliente656@example.com',1
2309,'cliente657','cliente657@example.com',1
2310,'cliente658','cliente658@example.com',1
2311,'cliente659','cliente659@example.com',1
2312,'cliente660','cliente660@example.com',1
2313,'cliente661','cliente661@example.com',1
2314,'cliente662','cliente662@example.com',1
2315,'cliente663','cliente663@example.com',1
2316,'cliente664','cliente664@example.com',1
2317,'cliente665','cliente665@example.com',1
2318,'cliente666','cliente666@example.com',1
2319,'cliente667','cliente667@example.com',1
2320,'empresa127','empresa127@example.com',2
2321,'cliente669','cliente669@example.com',1
2322,'cliente670','cliente670@example.com',1
2323,'cliente671','cliente671@example.com',1
2324,'cliente672','cliente672@example.com',1
2325,'cliente673','cliente673@example.com',1
2326,'cliente674','cliente674@example.com',1
2327,'cliente675','cliente675@example.com',1
2328,'cliente676','cliente676@example.com',1
2329,'cliente677','cliente677@example.com',1
2330,'empresa128','empresa128@example.com',2
2331,'cliente679','cliente679@example.com',1
2332,'cliente680','cliente680@example.com',1
2333,'cliente681','cliente681@example.com',1
2334,'cliente682','cliente682@example.com',1
2335,'cliente683','cliente683@example.com',1
2336,'cliente684','cliente684@example.com',1
2337,'cliente685','cliente685@example.com',1
2338,'cliente686','cliente686@example.com',1
2339,'cliente687','cliente687@example.com',1
2340,'empresa129','empresa129@example.com',2
2341,'cliente689','cliente689@example.com',1
2342,'cliente690','cliente690@example.com',1
2343,'cliente691','cliente691@example.com',1
2344,'cliente692','cliente692@example.com',1
2345,'cliente693','cliente693@example.com',1
2346,'empresa130','empresa130@example.com',2
2347,'cliente695','cliente695@example.com',1
2348,'empresa131','empresa131@example.com',2
2349,'cliente697','cliente697@example.com',1
2350,'cliente698','cliente698@example.com',1
